IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
106,1,,,-121.9331898,47.5260679,2025-12-11 23:08:52.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
107,1,,,-121.9331898,47.5260679,2025-12-11 23:08:53.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
108,1,,,-121.9331898,47.5260679,2025-12-11 23:08:54.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
109,1,,,-121.9331898,47.5260679,2025-12-11 23:08:55.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
110,1,,,-121.9331898,47.5260679,2025-12-11 23:08:56.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
111,1,,,-121.9331898,47.5260679,2025-12-11 23:08:57.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,,594,,,
112,1,,,-121.9331898,47.5260679,2025-12-11 23:08:58.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
113,1,,,-121.9331898,47.5260679,2025-12-11 23:08:59.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
114,1,,,-121.9331898,47.5260679,2025-12-11 23:09:00.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
115,1,,,-121.9331898,47.5260679,2025-12-11 23:09:01.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
116,1,,,-121.9331898,47.5260679,2025-12-11 23:09:02.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
117,1,,,-121.9331898,47.5260679,2025-12-11 23:09:03.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
118,1,,,-121.9331898,47.5260679,2025-12-11 23:09:04.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
119,1,,,-121.9331898,47.5260679,2025-12-11 23:09:05.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,,594,,,
120,1,,,-121.9331898,47.5260679,2025-12-11 23:09:06.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
121,1,,,-121.9331898,47.5260679,2025-12-11 23:09:07.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,,594,,,
122,1,,,-121.9331898,47.5260679,2025-12-11 23:09:08.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
123,1,,,-121.9331898,47.5260679,2025-12-11 23:09:09.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
124,1,,,-121.9331898,47.5260679,2025-12-11 23:09:10.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
125,1,,,-121.9331898,47.5260679,2025-12-11 23:09:11.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
126,1,,,-121.9331898,47.5260679,2025-12-11 23:09:12.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
127,1,,,-121.9331898,47.5260679,2025-12-11 23:09:13.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
128,1,,,-121.9331898,47.5260679,2025-12-11 23:09:14.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
129,1,,,-121.9331898,47.5260679,2025-12-11 23:09:15.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
130,1,,,-121.9331898,47.5260679,2025-12-11 23:09:16.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
131,1,,,-121.9331898,47.5260679,2025-12-11 23:09:17.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
132,1,,,-121.9331898,47.5260679,2025-12-11 23:09:18.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
133,1,,,-121.9331898,47.5260679,2025-12-11 23:09:19.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
134,1,,,-121.9331898,47.5260679,2025-12-11 23:09:20.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
135,1,,,-121.9331898,47.5260679,2025-12-11 23:09:21.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
136,1,,,-121.9331898,47.5260679,2025-12-11 23:09:22.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
137,1,,,-121.9331898,47.5260679,2025-12-11 23:09:23.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
