[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
,,,N41(100)+N41(40),NR SA,266,-94.910000,12.070000,,,,,,,,83.513,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-94.250000,11.270000,,,,,,,,88.747,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-94.700000,11.710000,,,,,,,,78.612,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-94.020000,9.400000,,,,,,,,76.733,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.780000,10.730000,,,,,,,,87.689,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-96.000000,9.330000,,,,,,,,87.918,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-94.090000,10.990000,,,,,,,,78.348,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.090000,14.780000,,,,,,,,84.350,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.290000,13.790000,,,,,,,,97.553,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.240000,11.150000,,,,,,,,105.072,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.830000,9.520000,,,,,,,,104.723,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.840000,11.320000,,,,,,,,86.662,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.310000,12.300000,,,,,,,,86.325,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.790000,13.700000,,,,,,,,99.463,,,,,,,,
,,,,,,,,,,,,,,Download End Request,,,,,,,,,
,,,,,,,,,,,,,,Download Ended,,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.750000,12.630000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-95.750000,10.600000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-93.040000,15.790000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-92.670000,16.150000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-92.940000,14.320000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-92.320000,13.210000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-94.100000,10.560000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-96.000000,10.090000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-92.840000,13.050000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-94.770000,12.420000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-96.480000,11.470000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-94.840000,13.540000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-93.050000,11.600000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
