Device,MO DUT,MT DUT,MO REF,MT REF
603,-72.0,-70.0,-67.0,-68.0
604,-72.0,-70.0,-67.0,-69.0
605,-72.0,-70.0,-67.0,-69.0
606,-72.0,-70.0,-67.0,-69.0
607,-72.5,-70.0,-67.0,-69.0
608,-73.0,-70.0,-67.0,-69.0
609,-73.0,-70.0,-67.0,-69.0
610,-73.0,-70.0,-67.0,-69.0
611,-72.0,-70.0,-67.0,-69.0
612,-72.5,-70.0,-67.0,-69.0
613,-73.0,-70.0,-67.0,-68.0
614,-73.0,-70.0,-67.0,-68.0
615,-72.0,-70.0,-67.0,-68.0
616,-72.0,-70.0,-67.0,-68.0
617,-72.0,-70.0,-67.0,-68.0
618,-73.0,-70.0,-67.0,-68.0
619,-73.0,-70.0,-67.0,-65.0
620,-73.0,-70.0,-67.0,-65.0
621,-72.0,-70.0,-67.0,-65.0
622,-72.0,-70.0,-67.0,-66.0
623,-72.0,-70.0,-67.0,-66.0
624,-72.0,-70.0,-67.0,-66.0
625,-72.0,-70.0,-67.0,-66.0
626,-72.0,-70.0,-76.0,-66.0
627,-73.0,-70.0,-76.5,-66.0
628,-73.0,-70.0,-77.0,-69.0
629,-73.0,-70.0,-76.0,-69.0
